time_s,force_n,normal_force_n,friction_force_n,active_particles,mean_damage
1.43333333,6.76320300,2.73942684,4.02377644,15,0.04850366
1.45000000,6.47183794,2.91462378,3.55721426,15,0.04911098
1.46666667,5.81419504,2.76588608,3.04830922,15,0.04968731
1.48333333,5.83739105,2.69852386,3.13886702,15,0.05024962
1.50000000,7.12826532,2.64397369,4.48429157,16,0.05080055
1.51666667,5.94338948,2.70196144,3.24142784,16,0.05136357
1.53333333,6.19780937,2.62683722,3.57097223,15,0.05191093
1.55000000,5.18667421,2.52002528,2.66664918,15,0.05243604
1.56666667,6.41706622,2.53501409,3.88205235,16,0.05296427
1.58333333,5.25361586,2.39895512,2.85466038,15,0.05346414
1.60000000,5.35243118,2.25337397,3.09905711,15,0.05393369
1.61666667,4.48131633,2.19815247,2.28316398,15,0.05439172
1.63333333,5.49927106,2.21139161,3.28787954,16,0.05485251
1.65000000,5.77736515,2.10730790,3.67005730,16,0.05529162
1.66666667,5.22084397,1.97807673,3.24276756,15,0.05570380
1.68333333,4.41312969,1.80326650,2.60986339,15,0.05607956
1.70000000,4.65703622,1.72853645,2.92849976,16,0.05643973
1.71666667,5.20031744,1.79424742,3.40606998,16,0.05681361
1.73333333,4.59569716,1.72440379,2.87129337,16,0.05717292
1.75000000,4.38471909,1.64730209,2.73741743,16,0.05751618
1.76666667,4.33870572,1.41275976,2.92594607,16,0.05781056
1.78333333,4.08422539,1.36147941,2.72274594,16,0.05809425
1.80000000,3.68774037,1.46043101,2.22730929,17,0.05839857
1.81666667,4.43033743,1.47128492,2.95905258,17,0.05870514
1.83333333,4.04344578,1.30072621,2.74271953,17,0.05897618
1.85000000,3.20923005,1.01694524,2.19228476,16,0.05918807
1.86666667,2.87602800,0.87393297,2.00209516,16,0.05937018
1.88333333,3.29007414,0.92861469,2.36145948,17,0.05956369
1.90000000,2.88214785,0.83666055,2.04548720,17,0.05973802
1.91666667,2.64152725,0.60871951,2.03280795,16,0.05986487
1.93333333,2.16495074,0.36715383,1.79779696,16,0.05994136
1.95000000,2.19758336,0.15919912,2.03838419,16,0.05997454
1.96666667,2.35521095,0.11367667,2.24153431,16,0.05999823
1.98333333,2.20357871,0.10486524,2.09871346,16,0.06002007
2.00000000,2.13532379,0.00357031,2.13175348,16,0.06002082
2.01666667,2.30597503,0.00000000,2.30597503,16,0.06002082
2.03333333,2.28157699,0.00000000,2.28157699,16,0.06002082
2.05000000,1.92455559,0.00000000,1.92455559,16,0.06002082
2.06666667,1.58845148,0.00000000,1.58845148,16,0.06002082
2.08333333,1.30731426,0.00000000,1.30731426,15,0.06002082
2.10000000,1.05163262,0.00000000,1.05163262,15,0.06002082
2.11666667,1.15676094,0.00606736,1.15069358,15,0.06002209
2.13333333,1.38183892,0.11763939,1.26419954,15,0.06004660
2.15000000,1.42317688,0.26151699,1.16165990,15,0.06010109
2.16666667,1.52107678,0.41773461,1.10334215,15,0.06018814
2.18333333,2.08105814,0.77403546,1.30702266,15,0.06034943
2.20000000,2.84424892,1.09514015,1.74910880,15,0.06057763
2.21666667,3.66077624,1.27785961,2.38291657,16,0.06084389
2.23333333,4.00159308,1.46215100,2.53944221,16,0.06114857
2.25000000,4.09989956,1.61330412,2.48659548,17,0.06148473
2.26666667,4.98068401,1.62944917,3.35123496,17,0.06182427
2.28333333,5.21030319,1.63314425,3.57715893,17,0.06216456
2.30000000,4.82913387,1.66642626,3.16270758,18,0.06251181
2.31666667,4.82391679,1.68571629,3.13820063,18,0.06286307
2.33333333,5.56204560,1.76478402,3.79726160,18,0.06323079
2.35000000,5.69548073,1.72639832,3.96908234,18,0.06359053
2.36666667,6.27026960,1.94289826,4.32737137,19,0.06399538
2.38333333,6.73853251,2.25637203,4.48216045,19,0.06446555
2.40000000,6.62603453,2.24769124,4.37834322,20,0.06493390
2.41666667,6.69524193,2.35670727,4.33853477,20,0.06542499
2.43333333,7.07483348,2.61506571,4.45976764,21,0.06596990
2.45000000,7.05042616,2.60209402,4.44833207,21,0.06651209
2.46666667,6.92488220,2.33500428,4.58987796,21,0.06699865
2.48333333,7.38083532,2.36882345,5.01201203,21,0.06749225
2.50000000,7.09206685,2.29024348,4.80182356,21,0.06796948
2.51666667,6.53631750,2.08401372,4.45230407,21,0.06840374
2.53333333,5.64275321,1.98986699,3.65288623,22,0.06881835
2.55000000,5.60653284,1.93821678,3.66831596,22,0.06922222
2.56666667,5.72743595,1.68189314,4.04554288,22,0.06957269
2.58333333,5.21263391,1.29348838,3.91914538,22,0.06984222
2.60000000,4.33443290,0.85762847,3.47680445,21,0.07002093
2.61666667,3.50737475,0.61134914,2.89602557,21,0.07014832
2.63333333,2.50693041,0.43256753,2.07436287,20,0.07023846
2.65000000,2.16704381,0.48736153,1.67968246,20,0.07034001
2.66666667,2.57811536,0.54289187,2.03522363,20,0.07045313
2.68333333,2.11253437,0.50706238,1.60547198,20,0.07055879
2.70000000,1.93278778,0.41748272,1.51530509,19,0.07064578
2.71666667,1.66566576,0.29990114,1.36576460,19,0.07070828
2.73333333,1.55967769,0.18708332,1.37259437,19,0.07074725
2.75000000,1.45889317,0.08770815,1.37118506,18,0.07076554
2.76666667,1.44653127,0.00906527,1.43746597,18,0.07076743
2.78333333,1.45625939,0.00000000,1.45625939,18,0.07076743
2.80000000,1.48936251,0.00000000,1.48936251,18,0.07076743
2.81666667,1.32248667,0.00000000,1.32248667,17,0.07076743
2.83333333,1.49410696,0.00000000,1.49410696,17,0.07076742
2.85000000,1.44887444,0.00000000,1.44887444,17,0.07076742
2.86666667,1.58964730,0.00000000,1.58964730,17,0.07076742
2.88333333,1.61964787,0.00000000,1.61964787,17,0.07076742
2.90000000,1.73672539,0.00000000,1.73672539,16,0.07076742
2.91666667,1.84791742,0.00000000,1.84791742,16,0.07076743
2.93333333,1.91160555,0.00000000,1.91160555,16,0.07076743
