id,cohort,scenario,variant,condition,status,eligible,physics_success,success,eligible_success,usage_observed,usage_complete,agent_elapsed_seconds,application_startup_seconds,startup_inclusive_seconds,input_output_tokens,uncached_input_output_tokens,cached_input_tokens,candidate_rollouts,simulation_process_starts,verification_process_starts,failed_candidates,failed_commands,mcp_errors,input_tokens,output_tokens,uncached_input_tokens,reasoning_output_tokens,tool_items,mcp_tool_items
panda_real-ipython-7,real_primary,panda_real,7,ipython,completed,True,True,True,True,True,True,338.35951764602214,3.8241622080095112,342.18367985403165,614605,60877,553728,16,1,2,2,0,0,605133,9472,51405,4181,19,14
panda_calibration-ipython-2,existing_primary,panda_calibration,2,ipython,completed,True,True,True,True,True,True,90.59899047203362,3.965676019899547,94.56466649193317,195748,45604,150144,9,1,1,8,0,0,193803,1945,43659,187,11,7
panda_calibration-live-2,existing_primary,panda_calibration,2,live,completed,True,True,True,True,True,True,133.0188184157014,3.5572273209691048,136.5760457366705,326980,30276,296704,9,1,1,8,0,1,324579,2401,27875,352,12,7
panda_calibration-restart-2,existing_primary,panda_calibration,2,restart,completed,True,True,True,True,True,True,185.08716610865667,0.0,185.08716610865667,475252,57332,417920,10,10,1,8,0,0,470945,4307,53025,1132,13,0
panda_calibration-restart-0,existing_primary,panda_calibration,0,restart,completed,True,True,True,True,True,True,167.313465423882,0.0,167.313465423882,429782,31062,398720,9,9,1,8,0,0,426367,3415,27647,514,17,0
panda_calibration-ipython-0,existing_primary,panda_calibration,0,ipython,completed,True,True,True,True,True,True,93.11180543527007,3.9756043199449778,97.08740975521505,238538,24266,214272,9,1,1,8,0,0,236552,1986,22280,202,10,7
panda_calibration-live-0,existing_primary,panda_calibration,0,live,completed,True,True,True,True,True,True,136.16437738901004,3.507020556833595,139.67139794584364,239685,26693,212992,9,1,1,8,0,0,237704,1981,24712,283,11,7
allegro-ipython-0,existing_primary,allegro,0,ipython,completed,True,True,True,True,True,True,55.64272123994306,2.851600598078221,58.49432183802128,141273,37337,103936,1,1,1,0,0,0,140139,1134,36203,96,11,3
allegro-restart-0,existing_primary,allegro,0,restart,completed,True,True,True,True,True,True,61.30438713077456,0.0,61.30438713077456,152867,16803,136064,1,1,1,0,0,0,151853,1014,15789,217,7,0
allegro-live-0,existing_primary,allegro,0,live,completed,True,True,True,True,True,True,48.735837172716856,2.6558172521181405,51.391654424835,138600,16488,122112,1,1,1,0,0,0,137618,982,15506,167,8,2
panda_real-ipython_fixed-1,sensitivity,panda_real,1,ipython_fixed,completed,True,True,True,True,True,True,270.36410606093705,3.7713105236180127,274.13541658455506,478123,77355,400768,17,1,2,3,0,0,470627,7496,69859,3056,15,9
hug-ipython_fixed-0,sensitivity,hug,0,ipython_fixed,completed,True,True,True,True,True,True,60.2540574837476,4.13720514299348,64.39126262674108,149254,23686,125568,1,1,1,0,0,0,147908,1346,22340,159,10,3
panda-ipython_fixed-0,sensitivity,panda,0,ipython_fixed,completed,True,True,True,True,True,True,46.68232389399782,4.173144057858735,50.855467951856554,135997,15037,120960,1,1,1,0,0,0,135010,987,14050,142,9,2
panda_real-ipython_fixed-2,sensitivity,panda_real,2,ipython_fixed,completed,True,True,True,True,True,True,209.77350285788998,3.83090614201501,213.604408999905,457861,71941,385920,12,1,2,2,0,0,451949,5912,66029,2187,13,9
panda_calibration-ipython_fixed-0,sensitivity,panda_calibration,0,ipython_fixed,completed,True,True,True,True,True,True,74.78165716305375,3.823952083941549,78.6056092469953,160161,19873,140288,9,1,1,8,0,0,158402,1759,18114,232,9,4
panda_real-ipython_fixed-0,sensitivity,panda_real,0,ipython_fixed,completed,True,True,True,True,True,True,285.48411549814045,3.7366325757466257,289.2207480738871,541292,113004,428288,16,1,2,3,0,0,532895,8397,104607,3619,16,10
allegro-ipython_fixed-0,sensitivity,allegro,0,ipython_fixed,completed,True,True,True,True,True,True,52.34277952602133,2.9292291798628867,55.27200870588422,134041,15513,118528,1,1,1,0,0,0,132882,1159,14354,152,9,3
